MMSI,DepartureTime,LATd,LONd,ArrivalTime,LATa,LONa,AVGSPDkmph,DistanceKm,VesselType,Length,Width,Draft
205482000,2018-10-05 17:16:00,59.41435,10.49415,2018-10-10 20:11:00,55.22641,11.75478,5.9,724.94847,70.00,89.00,13.00,4.60
205482000,2018-10-04 11:08:00,55.61799,13.0019,2018-10-05 16:46:00,59.41436,10.49413,15.42,456.8032,70.00,89.00,13.00,4.60
205482000,2018-09-29 7:45:00,59.88489,30.20423,2018-10-02 17:46:00,55.61798,13.00189,15.95,1308.9377,70.00,89.00,13.00,4.60
205482000,2018-09-24 13:18:00,54.30603,13.1118,2018-09-28 0:41:00,60.00894,29.34899,15.08,1257.37231,70.00,89.00,13.00,4.60
205482000,2018-09-21 13:55:00,56.15665,14.72835,2018-09-18 5:33:00,56.11466,14.86062,5.36,431.09474,70.00,89.00,13.00,4.60
205482000,2018-07-28 8:54:00,54.36559,10.14086,2018-07-28 8:54:00,54.36559,10.14086,3.37,1349.08934,70.00,89.00,13.00,4.60
205482000,2018-07-09 13:24:00,55.45497,12.19777,2018-07-10 16:34:00,59.25841,10.4919,17.54,476.5567,70.00,89.00,13.00,4.60
205482000,2018-06-14 20:45:00,57.39732,21.58043,2018-06-22 19:29:00,54.36526,10.14327,5.56,1061.30811,70.00,89.00,13.00,4.60
205521000,2017-11-10 21:49:00,56.03096,14.57652,2017-11-14 17:24:00,54.6889,20.20431,4.79,438.42819,70.00,88.00,11.00,3.80
205521000,2017-11-20 11:52:00,55.04206,9.42537,2017-11-21 9:53:00,53.89145,14.254,18.55,408.46945,70.00,88.00,11.00,3.80
205521000,2017-11-16 18:13:00,54.68834,20.21592,2017-11-18 20:26:00,55.042,9.42518,14.98,752.08952,70.00,88.00,11.00,3.80
205521000,2017-11-07 22:02:00,54.36519,10.14291,2017-11-08 23:56:00,55.97422,14.60932,15.78,408.68477,70.00,88.00,11.00,3.80
205655000,2018-06-02 1:02:00,57.92302,10.37931,2018-06-03 12:32:00,58.08645,11.8041,8.09,287.24584,80.00,174.00,30.00,10.30
205685000,2017-11-02 17:05:00,58.22027,10.38662,2017-11-02 22:03:00,57.65775,10.62932,27.62,137.16368,80.00,180.00,30.00,10.40
205689000,2017-11-01 11:02:00,53.56048,14.59222,2017-11-02 11:04:00,54.36568,10.14413,16.58,398.47438,70.00,82.00,12.00,5.30
205689000,2017-12-12 15:08:00,55.22643,11.75487,2017-12-14 10:39:00,55.6461,21.16023,18.2,791.91936,70.00,82.00,12.00,5.30
205689000,2017-12-14 17:22:00,55.64608,21.16022,2017-12-15 19:02:00,57.02427,24.08448,18.95,486.44765,70.00,82.00,12.00,5.30
205689000,2017-12-16 13:10:00,57.02425,24.08438,2017-12-18 4:50:00,61.24873,21.48905,17.64,699.78703,70.00,82.00,12.00,5.30
205689000,2017-12-18 14:04:00,61.24875,21.48907,2017-12-19 21:43:00,65.54472,22.286,18.08,572.23484,70.00,82.00,12.00,5.30
205689000,2017-12-20 9:42:00,65.54472,22.286,2017-12-24 11:09:00,54.36598,10.142,17.15,1671.22533,70.00,82.00,12.00,5.30
205689000,2017-12-29 10:57:00,54.3661,10.14278,2017-12-31 4:11:00,54.69007,20.19752,16.9,696.97859,70.00,82.00,12.00,5.30
205689000,2018-01-02 18:03:00,54.69122,20.20063,2018-01-05 7:46:00,63.08452,21.55683,18.4,1135.35439,70.00,82.00,12.00,5.30
205689000,2018-01-08 15:28:00,63.08448,21.55682,2018-01-09 7:31:00,64.65947,24.41072,19.34,310.46735,70.00,82.00,12.00,5.30
205689000,2018-01-09 22:18:00,64.65945,24.41075,2018-01-12 7:24:00,56.52258,20.99048,18.6,1061.8372,70.00,82.00,12.00,5.30
205689000,2018-05-20 23:16:00,54.36587,10.14293,2018-05-22 9:15:00,54.38792,18.66558,19.24,653.86075,70.00,82.00,12.00,5.30
205689000,2018-05-23 12:45:00,54.38792,18.66557,2018-05-26 0:52:00,63.08422,21.55775,17.98,1080.77767,70.00,82.00,12.00,5.30
205689000,2018-05-31 16:30:00,63.8432,23.02353,2018-06-09 20:38:00,53.90235,11.46157,11.56,2544.08816,70.00,82.00,12.00,5.30
205689000,2018-06-10 8:50:00,53.90235,11.4615,2018-06-13 17:31:00,64.22188,23.71423,19.06,1537.84591,70.00,82.00,12.00,5.30
205689000,2018-06-15 11:12:00,65.5444,22.28612,2018-06-18 5:02:00,59.42203,27.74017,18.16,1195.71727,70.00,82.00,12.00,5.30
205689000,2018-06-21 15:55:00,60.21292,25.19948,2018-06-24 16:52:00,54.36578,10.1434,16.51,1204.08307,70.00,82.00,12.00,5.30
205689000,2018-08-10 10:43:00,59.41437,10.4942,2018-08-15 20:10:00,60.79378,21.33762,11.6,1501.58634,70.00,82.00,12.00,5.30
205689000,2018-08-17 8:51:00,60.69035,20.97473,2018-08-18 13:42:00,60.21667,25.1886,18.82,543.05043,70.00,82.00,12.00,5.30
205689000,2018-08-20 11:36:00,60.21652,25.18828,2018-08-21 23:13:00,55.64835,21.15735,18.5,658.80526,70.00,82.00,12.00,5.30
205689000,2018-08-22 8:07:00,55.64835,21.15732,2018-08-22 19:23:00,54.64222,19.80715,16.44,185.20015,70.00,82.00,12.00,5.30
205689000,2018-08-26 22:22:00,54.69043,20.19772,2018-08-29 4:38:00,62.36497,21.21535,17.84,968.17555,70.00,82.00,12.00,5.30
205689000,2018-08-29 21:54:00,62.36497,21.21533,2018-08-31 15:12:00,59.52642,26.54568,17.16,708.64467,70.00,82.00,12.00,5.30
205689000,2018-08-31 19:38:00,59.52643,26.54568,2018-09-03 14:08:00,63.08452,21.55695,9.08,603.59625,70.00,82.00,12.00,5.30
205691000,2018-07-20 6:37:00,58.08638,11.80408,2018-07-24 20:23:00,57.9231,11.35332,5.71,157.54119,80.00,180.00,30.00,10.40
209014000,2017-11-05 11:51:00,56.41863,10.93014,2017-11-06 7:06:00,54.08584,11.41659,14.73,283.58104,70.00,88.00,11.00,5.00
209014000,2017-11-09 16:50:00,53.9025,11.45984,2017-11-10 8:06:00,55.63721,13.0143,15.83,241.75689,70.00,88.00,11.00,5.00
209014000,2017-11-14 14:51:00,55.85461,12.83106,2017-11-15 10:56:00,54.36582,10.14108,15.72,315.81245,70.00,88.00,11.00,5.00
209014000,2017-11-19 4:29:00,54.36579,10.14306,2017-11-19 23:35:00,56.14472,10.22127,12.87,245.9428,70.00,88.00,11.00,5.00
209014000,2017-11-21 21:22:00,55.41831,10.37909,2017-11-22 16:41:00,54.1574,12.12205,12.35,238.6092,70.00,88.00,11.00,5.00
209014000,2017-11-25 18:17:00,54.15161,12.12258,2017-11-26 8:55:00,55.04234,9.42397,14.48,211.94838,70.00,88.00,11.00,5.00
209014000,2017-11-28 14:49:00,55.04231,9.42399,2017-11-29 10:17:00,56.88944,12.47966,16,311.60661,70.00,88.00,11.00,5.00
209014000,2017-11-29 18:23:00,56.88936,12.47944,2017-11-30 7:46:00,55.47421,10.5381,15.19,203.30808,70.00,88.00,11.00,5.00
209014000,2017-11-30 16:43:00,55.47419,10.5381,2017-12-01 7:06:00,55.85405,12.83217,14.12,203.14473,70.00,88.00,11.00,5.00
209014000,2017-12-01 16:45:00,55.85404,12.8322,2017-12-02 11:14:00,54.36555,10.14106,17.02,314.74169,70.00,88.00,11.00,5.00
209014000,2017-12-06 16:47:00,54.36609,10.14308,2017-12-07 9:28:00,56.14461,10.22116,15.35,256.11965,70.00,88.00,11.00,5.00
209014000,2017-12-07 17:37:00,56.14463,10.2212,2017-12-08 10:21:00,54.15046,12.12325,17.26,288.89788,70.00,88.00,11.00,5.00
209014000,2017-12-09 12:54:00,54.15044,12.12324,2017-12-10 7:33:00,55.49045,9.4862,12.98,242.14385,70.00,88.00,11.00,5.00
209014000,2017-12-14 17:07:00,56.24912,10.35129,2017-12-15 5:56:00,55.85404,12.8321,14.88,190.67232,70.00,88.00,11.00,5.00
209014000,2017-12-15 13:23:00,55.85404,12.83211,2017-12-19 7:07:00,54.36553,10.14302,3.72,333.91089,70.00,88.00,11.00,5.00
209014000,2017-12-19 7:37:00,54.36554,10.143,2017-12-20 1:26:00,55.67797,12.64013,16.46,293.34156,70.00,88.00,11.00,5.00
209014000,2017-12-21 15:07:00,55.42812,10.39957,2017-12-22 7:45:00,57.44138,10.55212,14.8,246.14016,70.00,88.00,11.00,5.00
209014000,2017-12-23 12:37:00,56.41953,10.93083,2017-12-24 7:02:00,54.36611,10.14105,14.5,266.97526,70.00,88.00,11.00,5.00
209014000,2017-12-27 14:25:00,55.55799,9.73906,2017-12-28 7:35:00,54.15088,12.123,14.2,243.68136,70.00,88.00,11.00,5.00
209014000,2017-12-28 23:31:00,54.15088,12.12299,2017-12-30 6:44:00,58.13709,12.11838,15.36,479.38328,70.00,88.00,11.00,5.00
209014000,2018-01-05 21:05:00,58.13753,12.119,2018-01-06 9:30:00,56.88941,12.47964,14.52,180.28337,70.00,88.00,11.00,5.00
209014000,2018-01-08 13:48:00,56.88933,12.47943,2018-01-09 5:42:00,55.47397,10.53808,13.08,207.92458,70.00,88.00,11.00,5.00
209014000,2018-01-10 15:47:00,55.85404,12.83206,2018-01-11 11:39:00,54.36586,10.14098,16,318.03593,70.00,88.00,11.00,5.00
209014000,2018-01-13 13:07:00,54.36591,10.14024,2018-01-14 6:56:00,55.26544,11.20948,7.91,141.04533,70.00,88.00,11.00,5.00
209014000,2018-01-15 10:44:00,55.20915,11.24489,2018-01-15 21:47:00,56.14597,10.23014,12.37,136.73593,70.00,88.00,11.00,5.00
209014000,2018-01-16 12:26:00,56.14597,10.23016,2018-01-16 23:07:00,55.89315,12.77373,17.04,182.0576,70.00,88.00,11.00,5.00
209014000,2018-06-14 13:17:00,55.45666,12.19663,2018-06-15 4:27:00,54.08627,11.3998,13.44,203.8472,70.00,88.00,11.00,5.00
209014000,2018-06-16 11:45:00,53.89974,11.46075,2018-06-18 4:27:00,54.6944,20.42988,15.98,650.46965,70.00,88.00,11.00,5.00
209014000,2018-06-18 20:06:00,54.69442,20.42989,2018-06-20 4:04:00,55.09556,14.69541,12.49,399.22193,70.00,88.00,11.00,5.00
209014000,2018-06-21 11:28:00,55.09539,14.69328,2018-06-22 18:03:00,56.46005,10.05781,13.4,409.81224,70.00,88.00,11.00,5.00
209014000,2018-06-23 12:38:00,56.46047,10.05925,2018-06-26 6:05:00,58.59454,16.19586,14.33,938.10346,70.00,88.00,11.00,5.00
209014000,2018-06-28 11:05:00,58.59447,16.19479,2018-06-30 18:09:00,56.14303,10.21921,16.16,889.6265,70.00,88.00,11.00,5.00
209014000,2018-07-02 15:09:00,56.14299,10.2192,2018-07-03 5:02:00,54.83203,11.12829,13.34,185.20407,70.00,88.00,11.00,5.00
209014000,2018-07-03 15:26:00,54.83204,11.12827,2018-07-04 4:56:00,56.41967,10.93092,15.37,207.53486,70.00,88.00,11.00,5.00
209014000,2018-07-04 12:51:00,56.41971,10.93092,2018-07-07 7:55:00,57.12512,23.88452,15.3,1026.44064,70.00,88.00,11.00,5.00
209014000,2018-07-08 9:44:00,57.00635,24.11453,2018-07-11 4:16:00,54.36578,10.14331,15.6,1038.31879,70.00,88.00,11.00,5.00
209014000,2018-07-24 11:42:00,59.18244,10.95412,2018-07-26 15:47:00,55.70538,9.55079,9.91,516.04661,70.00,88.00,11.00,5.00
209014000,2018-07-27 13:47:00,55.70535,9.55095,2018-07-30 4:49:00,55.71049,21.12284,14.27,899.34886,70.00,88.00,11.00,5.00
209014000,2018-07-31 9:15:00,55.71053,21.1228,2018-08-02 10:05:00,54.36587,10.14271,15.61,762.0794,70.00,88.00,11.00,5.00
209014000,2018-08-08 12:37:00,56.42017,10.9313,2018-08-09 4:21:00,55.85431,12.83117,9.08,142.7933,70.00,88.00,11.00,5.00
209014000,2018-08-09 12:54:00,55.85432,12.83119,2018-08-10 12:05:00,54.36595,10.14225,13.74,318.52592,70.00,88.00,11.00,5.00
209014000,2018-08-12 12:52:00,54.3665,10.14015,2018-08-13 10:08:00,54.30433,13.11088,16.55,351.89382,70.00,88.00,11.00,5.00
209014000,2018-08-14 12:32:00,54.30434,13.1109,2018-08-15 19:32:00,55.47641,10.53961,14.95,463.48817,70.00,88.00,11.00,5.00
209014000,2018-08-21 11:57:00,55.67483,11.09965,2018-08-22 4:42:00,54.36579,10.14327,11.49,192.49532,70.00,88.00,11.00,5.00
209014000,2018-09-13 11:37:00,56.14389,10.22482,2018-09-15 16:46:00,54.69136,20.1996,14.48,769.67106,70.00,88.00,11.00,5.00
209014000,2018-09-17 10:52:00,54.69063,20.20187,2018-09-19 7:31:00,56.89494,12.49107,15.75,703.07466,70.00,88.00,11.00,5.00
209014000,2018-10-09 5:16:00,54.76174,11.86667,2018-10-15 7:25:00,55.33962,10.9884,4.74,694.17858,70.00,88.00,11.00,5.00
209014000,2018-10-16 12:43:00,55.33955,10.98819,2018-10-17 3:37:00,55.89813,12.76904,13.87,206.71622,70.00,88.00,11.00,5.00
209014000,2018-10-18 13:51:00,55.85958,12.82901,2018-10-20 6:54:00,55.64416,21.16262,15.29,627.82986,70.00,88.00,11.00,5.00
209030000,2017-11-25 4:42:00,59.3533,18.11113,2017-11-25 4:42:00,59.88103,30.23201,17.67,744.94695,70.00,106.00,15.00,5.30
209098000,2017-12-16 10:50:00,56.0289,12.69413,2017-12-19 2:06:00,59.88214,30.19679,21.4,1354.13866,70.00,151.00,23.00,8.00
209139000,2018-08-22 5:46:00,54.53429,18.52702,2018-08-20 7:27:00,59.87007,30.21084,23.03,1066.91474,70.00,143.00,21.00,9.70
209139000,2018-06-13 14:51:00,54.5294,18.55638,2018-06-15 15:34:00,59.90756,30.23053,22.07,1075.57505,70.00,143.00,21.00,9.70
209139000,2017-12-29 2:50:00,59.4604,24.65114,2017-12-30 4:49:00,59.90882,30.23222,14.54,377.8861,70.00,143.00,21.00,9.70
209155000,2018-06-04 16:07:00,55.71088,12.60333,2018-06-10 15:44:00,59.88213,30.19682,9.24,1326.58528,70.00,140.00,22.00,8.70
209204000,2018-08-24 4:10:00,54.36578,10.1407,2018-08-28 3:55:00,59.87089,30.20769,17.29,1655.18963,70.00,140.00,23.00,8.70
209204000,2018-10-01 0:30:00,54.52747,10.29556,2018-10-08 16:02:00,59.87088,30.2075,9.2,1688.18009,70.00,140.00,23.00,8.70
209204000,2018-09-13 9:13:00,54.36585,10.14021,2018-09-17 15:52:00,59.87091,30.20766,16.06,1648.94912,70.00,140.00,23.00,8.70
209207000,2017-12-14 6:33:00,54.36608,10.14286,2017-12-17 3:31:00,59.88681,30.20054,21.18,1460.57668,70.00,100.00,18.00,6.50
209273000,2017-12-22 23:04:00,59.17421,17.6658,2017-12-25 6:52:00,59.87161,30.21389,14.2,792.63297,70.00,89.00,15.00,5.10
209273000,2018-08-21 8:55:00,54.36586,10.14018,2018-08-24 16:14:00,59.89731,30.21748,18.38,1458.14609,70.00,89.00,15.00,5.10
209273000,2017-11-10 4:51:00,59.5897,16.52039,2017-11-12 14:30:00,59.89226,30.21577,15.35,885.05242,70.00,89.00,15.00,5.10
209313000,2018-07-14 14:09:00,55.474,10.53804,2018-07-18 6:32:00,59.90364,30.2255,17.21,1521.30666,70.00,88.00,13.00,5.30
210207000,2018-06-28 23:41:00,54.36575,10.13992,2018-07-01 16:05:00,59.86892,30.21501,22.7,1462.16712,70.00,151.00,23.00,8.00
210207000,2018-06-19 18:57:00,54.36631,10.13991,2018-06-22 3:50:00,59.88096,30.19909,25.63,1457.99392,70.00,151.00,23.00,8.00
205689000,2018-09-04 8:11:00,63.08448,21.55698,2018-09-04 20:41:00,61.6319,21.38418,18.87,235.9,70.00,82.00,12.00,5.30
205689000,2018-09-13 20:21:00,54.15282,12.12185,2018-09-17 5:06:00,64.22325,23.71115,18.24,1473.13,70.00,82.00,12.00,5.30
205689000,2018-09-18 6:49:00,64.22342,23.71072,2018-09-19 2:28:00,65.46393,22.49977,14.73,289.45,70.00,82.00,12.00,5.30
205689000,2018-09-24 17:47:00,65.54707,22.2546,2018-09-26 5:28:00,61.21037,17.16452,16,571.28,70.00,82.00,12.00,5.30
205689000,2018-09-27 1:45:00,61.21033,17.16455,2018-09-28 7:37:00,60.01435,23.93005,18.55,554.03,70.00,82.00,12.00,5.30
205689000,2018-09-28 17:48:00,60.01427,23.93002,2018-09-29 5:51:00,59.52587,26.54515,16,192.79,70.00,82.00,12.00,5.30
205689000,2018-09-30 19:07:00,59.52585,26.54508,2018-10-03 4:08:00,62.35192,21.21457,12.98,740.03,70.00,82.00,12.00,5.30
210169000,2018-06-16 9:04:00,55.5577,9.74507,2018-06-18 15:04:00,59.87095,30.20769,29.48,1592.14,70.00,151.00,23.00,8.00
210169000,2018-07-26 23:46:00,54.36619,10.14073,2018-07-29 3:33:00,59.87091,30.20781,28.22,1461.72,70.00,151.00,23.00,8.00
